image_name,message_id,channel_name,detected_object,confidence_score,image_category
49.jpg,49,CheMed123,kite,0.40330350399017334,other
49.jpg,49,CheMed123,kite,0.34492671489715576,other
49.jpg,49,CheMed123,frisbee,0.32522204518318176,other
50.jpg,50,CheMed123,cake,0.29161056876182556,other
52.jpg,52,CheMed123,person,0.7039297223091125,lifestyle
52.jpg,52,CheMed123,person,0.6460769772529602,lifestyle
52.jpg,52,CheMed123,horse,0.6252716183662415,lifestyle
52.jpg,52,CheMed123,person,0.513064980506897,lifestyle
52.jpg,52,CheMed123,person,0.4309833347797394,lifestyle
52.jpg,52,CheMed123,person,0.3347775638103485,lifestyle
53.jpg,53,CheMed123,person,0.573768675327301,lifestyle
55.jpg,55,CheMed123,stop sign,0.3071293234825134,other
56.jpg,56,CheMed123,person,0.8329588770866394,lifestyle
58.jpg,58,CheMed123,bottle,0.41152629256248474,product_display
59.jpg,59,CheMed123,bottle,0.28661638498306274,product_display
60.jpg,60,CheMed123,none,0.0,other
64.jpg,64,CheMed123,person,0.6864548325538635,lifestyle
64.jpg,64,CheMed123,person,0.4401927888393402,lifestyle
64.jpg,64,CheMed123,banana,0.28093573451042175,lifestyle
64.jpg,64,CheMed123,remote,0.25620216131210327,lifestyle
67.jpg,67,CheMed123,stop sign,0.5792272090911865,other
67.jpg,67,CheMed123,book,0.2841630280017853,other
70.jpg,70,CheMed123,potted plant,0.924700140953064,lifestyle
70.jpg,70,CheMed123,person,0.844322144985199,lifestyle
70.jpg,70,CheMed123,book,0.4226498603820801,lifestyle
71.jpg,71,CheMed123,person,0.8835617899894714,lifestyle
71.jpg,71,CheMed123,person,0.8042728900909424,lifestyle
74.jpg,74,CheMed123,none,0.0,other
75.jpg,75,CheMed123,person,0.8353005647659302,lifestyle
76.jpg,76,CheMed123,person,0.8694229125976562,lifestyle
76.jpg,76,CheMed123,chair,0.2723304033279419,lifestyle
76.jpg,76,CheMed123,chair,0.25177425146102905,lifestyle
77.jpg,77,CheMed123,bottle,0.9558238387107849,product_display
77.jpg,77,CheMed123,bottle,0.9073092341423035,product_display
77.jpg,77,CheMed123,bottle,0.8960538506507874,product_display
77.jpg,77,CheMed123,bottle,0.8936647772789001,product_display
78.jpg,78,CheMed123,person,0.7698584198951721,lifestyle
78.jpg,78,CheMed123,person,0.35558605194091797,lifestyle
79.jpg,79,CheMed123,none,0.0,other
80.jpg,80,CheMed123,person,0.9279417395591736,promotional
80.jpg,80,CheMed123,bottle,0.7433301210403442,promotional
80.jpg,80,CheMed123,chair,0.5636420845985413,promotional
81.jpg,81,CheMed123,bottle,0.8817965388298035,product_display
81.jpg,81,CheMed123,bottle,0.8326680660247803,product_display
81.jpg,81,CheMed123,bottle,0.8216720223426819,product_display
81.jpg,81,CheMed123,bottle,0.8041247725486755,product_display
81.jpg,81,CheMed123,bottle,0.7617482542991638,product_display
82.jpg,82,CheMed123,bottle,0.8991732001304626,product_display
